seq,frame,track_id,lost_duration,gpr_sigma_px,cost,track_recent_speed,implied_speed,motion_ratio,nearest_active_iou,nearest_active_dist,n_neighbors,track_last_cx,track_last_cy,track_last_w,track_last_h,pred_cx,pred_cy,pred_w,pred_h,det_cx,det_cy,det_w,det_h,det_score
MOT17-02-FRCNN,15,8,2,4.00059324502852,0.05357684235312943,4.959051229003505,3.3430244979721495,0.67412582439563,0.645907455389203,55.5965064875136,19,1123.0216938449146,665.1859224074766,182.10802316938378,486.73362154139056,1125.973672918764,664.2225965728273,171.88990418081175,484.6534605761867,1128.5999755859375,661.5,175.5,472.5,0.3359435796737671
MOT17-02-FRCNN,24,22,2,2.1889935017863933,0.13266609278756825,1.9216522430164782,1.234686872742589,0.6425131691905202,0.025869370995635004,78.14197378674136,5,1139.014347581583,492.22614919747014,35.774225917047374,90.70797205272873,1135.915260735945,493.1976134853271,36.962933439581775,93.79243566613485,1136.7000732421875,493.08750915527344,33.75,89.10000610351562,0.2119215726852417
MOT17-02-FRCNN,31,22,2,2.0058774660361762,0.11921322632231579,0.7758508552979231,0.8228465748291905,1.060573136203119,0.0356874121272916,78.95062073181793,6,1135.3133748281928,492.3702908374671,33.30574222688479,89.47227180399216,1134.4416349220573,493.90182585358804,34.26715040344288,91.8871643700644,1135.3500366210938,490.7250061035156,32.4000244140625,88.42498779296875,0.20676803588867188
MOT17-02-FRCNN,31,32,1,0.5327780524289945,0.12100222839444807,0.7930577372046234,0.18905626992603994,0.23838903658191027,0.27698199179213767,16.171618442158923,1,992.078686808004,486.25762693983626,24.74811581648245,65.69631896705111,991.7745903302848,486.5796218013117,25.59724739186595,67.79304222829012,992.2500305175781,486.3375244140625,24.29998779296875,62.7750244140625,0.5526509284973145
MOT17-02-FRCNN,61,24,2,1.4288580673518614,0.1463929410631699,1.5002169148351099,1.6652751117834115,1.1100228875678577,0.0,65.12482561341467,1,892.3945411075952,480.61911131428934,25.31427708803658,65.46975768167964,893.86660913351,481.0527360051727,25.16885755596809,68.61499896703629,895.7250366210938,480.6000213623047,27.0,67.50003051757812,0.1412036418914795
MOT17-02-FRCNN,69,28,1,1.3429001309001247,0.041391879744844484,1.7662360319714658,0.8309937018256175,0.470488477634592,0.0,300.4212842586091,1,1569.7519041166297,488.5993323756394,41.76002069450876,116.38276629331276,1569.4940872790662,488.74194342636395,42.02258557673895,114.41808487195794,1570.050048828125,489.375,43.199951171875,116.0999755859375,0.14179766178131104
MOT17-02-FRCNN,70,28,1,1.2925079922422555,0.08347136535580812,1.8695011233917598,1.7780567978595172,0.9510862419989677,0.0,301.55486070812,1,1570.7434048565044,489.002394423404,42.644913549429035,116.26031680292117,1570.1377503356748,488.7859468459645,42.75548310391923,116.08009441806223,1571.4000244140625,487.3500213623047,43.199951171875,119.47500610351562,0.3414602279663086
MOT17-02-FRCNN,73,28,1,1.2982703557907027,0.08950544778897918,2.392336432804849,2.9498584132776577,1.233044973452648,0.0,306.8083955397675,1,1576.8504050821932,492.4658582709645,40.77229602909841,108.84531475973071,1579.751822755821,493.28520683131967,41.70901644405194,113.31930081974707,1579.5,493.76251220703125,43.199951171875,106.6500244140625,0.4495229721069336
MOT17-02-FRCNN,85,4,2,3.972024308595474,0.1470452320686697,3.9976284869722205,3.0420875838846224,0.7609730603527596,0.44201177926470014,95.4717150131173,4,1060.9996826436366,571.4846159390444,117.53589810217416,264.80472888023945,1060.4200013770617,562.232052488573,116.40126868957634,264.72328122701583,1057.0500183105469,576.1125030517578,120.14996337890625,284.1750183105469,0.2031097412109375
MOT17-02-FRCNN,86,17,30,1.7815065582442537,0.1219109112705844,1.1846525848108815,0.2852616364024965,0.24079771576916437,0.08953776277190346,40.943990225518945,1,1006.6158190630789,489.25677816279887,38.40754912575894,103.41317782210706,1005.2111089425158,494.5252569289762,38.88448268397474,102.1598909096312,1006.4250183105469,497.8125,36.45001220703125,99.2249755859375,0.1559543013572693
MOT17-02-FRCNN,86,9,9,1.255882288981538,0.14152828433637,0.7180299589895298,0.3422071677960908,0.4765917682288251,0.1964863171468042,16.166373117615727,1,593.7864127428568,483.29573224338236,20.412160071015425,56.37184498499118,591.3719728292815,485.672766773863,20.457801394624084,57.62502320591341,592.3125,486.00001525878906,21.5999755859375,61.425018310546875,0.26321732997894287
MOT17-02-FRCNN,93,5,6,2.134105774542628,0.12031223404939984,1.7244087436880953,0.6031926336491038,0.34979678446713275,0.22592652989184114,28.224995131743313,2,434.56407448484026,517.9572007839354,42.6137977657516,109.48688409477717,434.23236318463694,518.6410292889358,42.73470529867643,111.46272859849682,433.01251220703125,514.6875,43.875,104.625,0.26082873344421387
MOT17-02-FRCNN,93,8,2,3.5530905981016585,0.05298953286274011,2.759634234707518,1.360455625360089,0.4929840368878733,0.6051395355789748,43.559669761106534,15,1204.8131263551174,665.9365614162521,167.3500825884525,497.9271263129185,1201.005230929772,664.6892226360773,166.34089173650227,496.62685548400555,1204.2000732421875,668.5875091552734,162.0,496.1250305175781,0.3914315700531006
MOT17-02-FRCNN,99,21,11,2.3049899137476877,0.09427387124117936,1.2199997203034871,0.3851038232009319,0.31565894384396537,0.4550357797263688,13.215627387154719,2,446.06237947496675,506.0878444560441,38.43281095564079,92.24892412864085,446.4261229425229,506.04359528107864,36.866743703796374,96.08949951563073,446.51251220703125,510.3000030517578,37.125,91.80001831054688,0.10703372955322266
MOT17-02-FRCNN,100,29,1,2.093892642394814,0.14081697826166895,2.295383590142478,6.453793655972181,2.811640583163524,0.0786877076495739,25.449726367306603,1,529.2020636609496,490.5352469670137,23.30803881163263,64.64388073714468,522.7910448443007,487.299956557266,24.16717793522497,66.10621988882389,523.125,488.3625183105469,27.0,68.85003662109375,0.40752315521240234
MOT17-02-FRCNN,103,8,3,4.101277937962338,0.0840355715900053,3.437667785073269,0.05870757751968742,0.017077734438040282,0.6990706342700942,48.76936170592086,15,1185.8255264446896,665.643093996944,168.44894135404004,506.14229938057787,1189.5244021650458,665.3858468023845,166.34864944651508,506.18534614118084,1185.9750366210938,665.5500030517578,167.4000244140625,483.3000183105469,0.3278195858001709
MOT17-02-FRCNN,115,13,1,0.5227630294136169,0.08089454884446468,0.7073445487525576,1.2720507869089481,1.7983467733684837,0.06596826441864836,82.15061254623735,1,632.941482204544,495.4691735476159,25.902000828986104,78.84043577233831,633.1993727121587,495.4029114135468,25.717638043027137,77.37269117632013,634.1625061035156,495.1125030517578,24.29998779296875,77.62496948242188,0.17666500806808472
MOT17-02-FRCNN,130,11,9,2.49878597973937,0.09914146882672414,0.4849291099499914,0.43667572091189855,0.9004939319005432,0.1725169184059113,18.424670192376496,5,579.7038493949503,485.56314946738615,21.00772587851798,56.58163912648111,576.4368938868593,485.3843881570191,20.820474540919122,56.607010096312194,575.7750244140625,485.6625213623047,22.2750244140625,58.725006103515625,0.36160945892333984
MOT17-02-FRCNN,158,13,13,4.177424214950398,0.09632504399107589,0.7097194965916931,0.3997749583853801,0.5632858619570565,0.004996963766923414,132.29082815374835,1,633.819459593973,499.37494999154995,26.93703399269456,86.00263933184371,637.3410424868042,494.0080089531166,26.265018115240764,79.8535146039294,637.875,496.125,24.9749755859375,82.3499755859375,0.4417855739593506
MOT17-02-FRCNN,162,36,10,3.764680970541936,0.14129440535426563,2.3421366123113603,0.36255426166435556,0.15479637684608216,0.05777610793302331,33.154915920186,8,568.8810924341997,489.10906724860547,27.742966930487523,76.23405768643795,572.0715999232165,491.97230714295,27.078930245678748,75.49143848696815,570.3750305175781,492.4125061035156,26.32501220703125,73.57501220703125,0.17576217651367188
